liga,url,Home_team,Away_team,id,fecha,1_Average,X_Average,2_Average,1_Highest,X_Highest,2_Highest,H_Average,A_Average,H_Highest,A_Highest,1X_Average,12_Average,X2_Average,1X_Highest,12_Highest,X2_Highest
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/oklahoma-city-thunder-dallas-mavericks-AuuA3WPO/,Oklahoma City Thunder,Dallas Mavericks,08 May 2024_NBA_Oklahoma City Thunder_Dallas Mavericks,08 May 2024,1.60,15.50,2.42,1.63,16.00,2.45,1.53,2.57,1.56,2.60,1.50,1.04,2.25,1.50,1.04,2.25
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-cleveland-cavaliers-WYPyidoe/,Boston Celtics,Cleveland Cavaliers,08 May 2024_NBA_Boston Celtics_Cleveland Cavaliers,08 May 2024,1.22,18.75,4.40,1.25,19.00,4.50,1.13,6.21,1.14,6.50,1.17,1.03,4.20,1.17,1.03,4.20
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/denver-nuggets-minnesota-timberwolves-0QskIaNp/,Denver Nuggets,Minnesota Timberwolves,07 May 2024_NBA_Denver Nuggets_Minnesota Timberwolves,07 May 2024,1.42,16.50,2.98,1.44,17.00,3.10,1.35,3.35,1.39,3.50,1.31,1.03,2.95,1.31,1.03,2.95
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/new-york-knicks-indiana-pacers-vTO5RDOE/,New York Knicks,Indiana Pacers,07 May 2024_NBA_New York Knicks_Indiana Pacers,07 May 2024,1.53,15.50,2.63,1.56,16.00,2.70,1.44,2.91,1.48,3.05,1.44,1.03,2.50,1.44,1.03,2.50
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-EihMmTT9/,Cleveland Cavaliers,Orlando Magic,05 May 2024_NBA_Cleveland Cavaliers_Orlando Magic,05 May 2024,1.66,15.50,2.30,1.67,16.00,2.40,1.61,2.40,1.63,2.50,1.56,1.04,2.10,1.56,1.04,2.10
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/denver-nuggets-minnesota-timberwolves-r91INLaN/,Denver Nuggets,Minnesota Timberwolves,05 May 2024_NBA_Denver Nuggets_Minnesota Timberwolves,05 May 2024,1.64,15.00,2.32,1.65,15.00,2.40,1.55,2.53,1.56,2.61,1.56,1.04,2.15,1.56,1.04,2.15
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-los-angeles-clippers-bkP5irdd/,Dallas Mavericks,Los Angeles Clippers,04 May 2024_NBA_Dallas Mavericks_Los Angeles Clippers,04 May 2024,1.42,16.50,2.98,1.44,17.00,3.10,1.28,3.81,1.33,3.93,1.32,1.03,2.95,1.32,1.03,2.95
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/orlando-magic-cleveland-cavaliers-6sXxmCP8/,Orlando Magic,Cleveland Cavaliers,04 May 2024_NBA_Orlando Magic_Cleveland Cavaliers,04 May 2024,1.61,15.00,2.38,1.65,15.00,2.40,1.53,2.57,1.54,2.61,1.56,1.04,2.15,1.56,1.04,2.15
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/philadelphia-76ers-new-york-knicks-Ua0r3Puo/,Philadelphia 76ers,New York Knicks,03 May 2024_NBA_Philadelphia 76ers_New York Knicks,03 May 2024,1.68,15.50,2.23,1.69,16.00,2.30,1.67,2.27,1.67,2.31,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/indiana-pacers-milwaukee-bucks-QL0flNVF/,Indiana Pacers,Milwaukee Bucks,03 May 2024_NBA_Indiana Pacers_Milwaukee Bucks,03 May 2024,1.57,17.25,2.53,1.57,18.50,2.65,1.42,2.96,1.45,3.05,1.46,1.03,2.40,1.46,1.03,2.40
